Block,Policy Count,Base Policy DB,Other DB,GA AV,SA AV,GA CV,SA CV,Loan Value,STAT - Base Vx Life,STAT - XCV Vx,STAT - Def Vx,STAT - AXXX Basic Vx,STAT - AXXX Def Vx,STAT - PUA Vx,STAT - CTR Rider Vx,STAT - CI Rider Vx,STAT - Other Rider Vx,STAT - ADB Rider Vx,STAT - Dis Rider Active Vx,STAT - Dis Rider Disabled Vx,STAT - GIO Rider Vx,STAT - GMDB Rider Vx,STAT - IPC Vx Adj,STAT - Non Ded Vx Adj,STAT - Substd Vx Adj,STAT - Ref Prem Vx Adj,STAT - Total GA Vx,STAT - Sep Acct Vx,STAT - CRVM Exp Allow SA,STAT - CRVM Exp Allow GA,TAX - Base Vx Life,TAX - XCV Vx,TAX - AXXX Basic Vx,TAX - PUA Vx,TAX - CTR Rider Vx,TAX - CI Rider Vx,TAX - Other Rider Vx,TAX - ADB Rider Vx,TAX - Dis Rider Active Vx,TAX - Dis Rider Disabled Vx,TAX - GIO Rider Vx,TAX - GMDB Rider Vx,TAX - IPC Vx Adj,TAX - Non Ded Vx Adj,TAX - Substd Vx Adj,TAX - Ref Prem Vx Adj,TAX - Tax Ceiling Vx Adj,TAX - Total GA Vx,TAX - Sep Acct Vx,TAX - CRVM Exp Allow SA,TAX - CRVM Exp Allow GA,GAAP - Upload Tieout,STAT - Upload Tieout
RNY ISWL,3562,246170152.2,0,103319631.2,0,103319631.2,0,0,104673473.8,789831.02,56269.41,0,0,0,0,0,0,0,9449.76,571350.15,0,0,0,0,0,0,106100374.1,0,0,0,87903852.45,15416202.35,0,0,0,0,0,0,8770.26,530270.08,0,0,0,0,0,0,0,103859095.1,0,0,0,103319631.2,106100374.1
RNY VUL,489,165348649.8,0,4753241.33,36030306.74,4745251.663,36014813.72,0,4430669.564,321718.4087,0,0,0,0,0,0,0,0,16133.94,0,0,0,0,0,0,0,4768521.92,36074852.76,-44546.01988,44546.01988,4430099.04,321718.4087,0,0,0,0,0,0,16129.78,0,0,0,0,0,0,0,0,4767947.237,36069438.79,-39132.05252,39132.05252,4753241.33,4768521.913
RNY UL,9464,2559986904,5152000,300327295.5,0,296864030.4,0,6926144.58,304762019.1,2582504.17,874319.12,0,0,0,0,0,31467.98,0,11720.06,2499565.05,0,0,0,0,0,0,310761595.5,0,0,0,274360014.2,25099744.86,0,0,0,0,29174.33,0,10877.38,2319846.3,0,0,0,0,0,0,0,301819657.1,0,0,0,300327295.5,310761595.5
RNY IUL,330,256317692,110000,20240810,0,16257195,0,61881,16700383.45,1357437.58,0,0,0,0,0,0,60.16,0,395.86,0,0,0,0,0,0,0,18058277.05,0,0,0,15499626.09,2102738.35,0,0,0,0,4.54,0,367.4,0,0,0,0,0,0,0,0,17602736.38,0,0,0,20240810,18058277.05
RNY IUL ULSG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNY ULSG,1,300000,0,63279.55,0,60025.2,0,0,65454.61,0,0,45842.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111296.66,0,0,0,55809.01,0,47485.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103294.43,0,0,0,63279.55,111296.65
RNY ULSG Swiss Re,51,20895709.01,0,3198776.41,0,3182065.04,0,78901.67,3233447.08,775.41,0,5819068.64,287151.06,0,0,0,0,0,0,0,0,0,0,0,0,0,9340442.21,0,0,0,2819306.84,11421.06,4345514.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7176242.5,0,0,0,3198776.41,9340442.19
RNY ULSG SUNNY RR2,678,835219249.6,18000,64808297.92,0,56713205.5,0,791194.62,65741788.63,0,0,183222831.3,9388972.4,0,0,0,0,0,0,0,0,0,0,0,0,0,258353592.4,0,0,0,60937231.39,1567.91,166937125.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227875925,0,0,0,64808297.92,258353592.4
RNY ULSG SSU RR2,43,22725113.04,0,2197390.25,0,1978014.28,0,221792.37,2200825.92,0,0,4113075.02,10964.59,0,0,0,0,0,0,14301.14,0,0,0,0,0,0,6339166.65,0,0,0,2042586.49,0,3754788.55,0,0,0,0,0,0,13272.89,0,0,0,0,0,0,0,5810647.94,0,0,0,2197390.25,6339166.67
RNY ULSG SUNNY Teal,1511,802590149,100000,77290537,0,63587233,0,1794434,73832222.33,0,0,141760896.5,14712493.47,0,0,0,89.87,0,12209.52,0,0,0,0,0,0,0,230317911.9,0,0,0,68523685.56,0,131671902.3,0,0,0,83.41,0,11331.65,0,0,0,0,0,0,0,0,200207003.1,0,0,0,77290537,230317911.7
RNY ULSG SSU Teal,23,6500000,0,433309,0,299810,0,0,418796.72,0,0,894765.48,163494.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1477056.65,0,0,0,388685.26,0,830431.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219117.08,0,0,0,433309,1477056.65
RLI VUL,25598,5570705206,0,145743758.9,1537406428,145512245,1535527673,0,131877054.1,13918650.56,1296.75946,0,0,0,0,0,0,0,907807.49,1918531.22,0,13889.43,0,0,0,0,148637229.6,1535072874,2333553.446,-2333553.446,131836706.2,13919407.35,0,0,0,0,0,0,906868.11,1851226.73,0,13811.59,0,0,0,0,0,148528020,1534989628,2416799.774,-2416799.774,145743758.9,148637229.5
RLI UL,48260,5119247015,19503333,716007115.4,0,693356945.7,0,9698172.79,681042664.3,42677270.67,149802.01,0,0,0,0,0,15426.25,0,455738.73,9710953.95,0,0,0,0,0,398705.44,734450561.7,0,0,0,629192211.9,85151396.26,0,0,0,0,14317.11,0,422971.24,9012736.34,0,0,0,0,0,370038.48,-28042.99,724135628.8,0,0,0,716007115.4,734450561.4
RLI ULSG,7345,3312608539,7181000,493792526.3,0,493712762.7,0,16597148.77,486889321.9,12656714.21,8978.42,60013691.61,32227.28,0,0,0,5972.89,0,0,293593.63,0,0,0,0,0,0,559900500,0,0,0,451881979.1,41472446.95,55691194.09,0,0,0,5543.43,0,0,272484.25,0,0,0,0,0,0,0,549323648,0,0,0,493792526.3,559900500
RLI ULSG RR2,6813,3000121071,12461000,346493655.5,0,338150259.8,0,9037968.87,340353419.3,1513010.59,0,594513229.4,192105192.6,0,0,0,8473.68,0,0,351046.93,0,0,0,0,0,0,1128844372,0,0,0,314879332.3,5114781.94,550181245.3,0,0,0,7451.62,0,0,325806.66,0,0,0,0,0,0,-837.59,870507780.2,0,0,0,346493655.5,1128844373
RLI ULSG Corn2,3088,2221780828,1970000,352674663.1,0,345147270.3,0,2731761.08,351960999.2,24182.86,0,514877864.8,195243423.2,0,0,0,1996.97,0,0,77726.03,0,0,0,0,0,0,1062186193,0,0,0,326655003.4,1592214.34,476857255.4,0,0,0,1853.39,0,0,72137.53,0,0,0,0,0,0,0,805178464.4,0,0,0,352674663.1,1062186193
SLD VUL,11275,9474813969,12495000,180971643,1499760536,185042262,1475983461,81233759,166846624.3,14723769.04,39805.35019,0,0,0,7.181097834,0,15182.40569,7.64,410469.43,672817.45,1.219585835,478419.52,0,0,0,0,183187103.5,1496015042,3745494.378,-3745494.378,166597958.5,14723769.02,0,0,7.181097834,0,15181.79516,7.57,409393.34,653130.67,1.219585835,406490.47,0,0,0,0,-29.08,182805910.7,1495174426,4586110.193,-4586110.193,180971643,183187103.5
SLD VUL M99,69,103049471,100000,3673790,21454251,3673754,21454251,249499,3573037.737,125253.4324,1843.572579,0,0,0,0,0,0,0,0,0,0,77.71,0,0,0,0,3700212.433,21518658.44,-64407.43673,64407.43673,3571275.341,125253.4324,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,3696529.654,21512741.98,-58490.97649,58490.97649,3673790,3700212.452
SLD UL,12509,5057749043,18526500,863794840,0,854534635,0,64977035,828452241.7,40665755.75,14107.68,0,0,0,191.21,0,1313919.35,120.17,98805.6,862590.96,2.2,0,0,0,0,0,871407734.9,1.93E-12,-1.93E-12,1.93E-12,769584948.3,94964392.72,0,0,177.37,0,1219448.59,111.52,91701.52,800570.67,2.03,0,0,0,0,0,0,866661352.6,1.59E-12,-1.59E-12,1.59E-12,863794840,871407734.6
SLD IUL,20863,22581835001,29680000,1989705455,0,1819962033,0,55662209,1849875036,122978227.2,0,0,0,0,0,0,14812.18,0,273871.82,7175.59,0,0,0,0,0,0,1973149117,1.82E-12,-1.82E-12,1.82E-12,1716869021,185436302.6,0,0,0,0,3768.61,0,254180.41,6659.67,0,0,0,0,0,0,0,1902569932,-4.55E-13,4.55E-13,-4.55E-13,1989705455,1973149123
SLD IUL ULSG,3136,1574400951,400000,106913699,0,69727432,0,349596,93522087.05,621.09,0,96976274.4,39013259.79,0,0,0,33.42,0,12476.04,0,0,0,0,0,0,0,229524751.6,0,0,0,86797848.81,30341.06,90037288.89,0,0,0,31.01,0,11578.98,0,0,0,0,0,0,0,0,176877089,0,0,0,106913699,229524751.8
SLD Joint UL,328,540117859,0,130322877,0,130322720,0,495292,132357664.9,181624.21,75700.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132614990,0,0,0,122841148.7,7674600.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130515749.1,0,0,0,130322877,132614989.9
SLD BOLI,1217,442053192,0,250094176,0,250093560,0,767,217354388.1,32780822.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250135210.2,0,0,0,201726607.5,48366952.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250093560,0,0,0,250094176,250135210.2
SLD ULSG,112,8520000,0,488686,0,347867,0,0,464781.22,0,0,218938.96,510876.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1194596.32,0,0,0,431363.32,262.55,203674.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635299.97,0,0,0,488686,1194596.37
SLD ULSG RR2,7773,8096999397,2503688,696556569,0,630543695,0,8547567,686195042.3,36945.9,0,2121112213,78921087.45,0,0,0,2524.6,0,27891.73,0,0,0,0,0,0,0,2886295705,0,0,0,636857618.9,157008.14,1963338032,0,0,0,19712.39,0,25886.31,0,0,0,0,0,0,0,0,2600398257,0,0,0,696556569,2886295705
SLD ULSG Teal,7753,4418511669,820000,498592435,0,408504882,0,2158646,472817534.5,4612.13,0,1031781476,2301031.81,0,0,0,521.49,0,22352.08,235589.68,0,0,0,0,0,0,1507163118,0,0,0,438821953.7,15913.5,957623457.9,0,0,0,1123.87,0,20745,218650.77,0,0,0,0,0,0,0,1396701844,0,0,0,498592435,1507163118
SLD VUL Old SLIC,2289,697441135,30412660,10418889,127447348,10417763,127411711,8255701,9540078.299,874166.5463,948.6929531,0,0,0,39.13820361,0,11065.47265,56.3,145079.26,236770.13,2.881962954,3002.11,0,0,0,0,10811208.78,127391999.8,55348.22492,-55348.22492,9537855.956,874170.8257,0,0,38.77820361,0,10969.5476,52.24,144552.19,224806.42,2.678265338,3002.11,0,0,0,0,-96.75,10795353.91,127378173.9,69174.10203,-69174.10203,10418889,10811208.83
SLD UL Old SLIC,24460,5305119320,47891538,735265349.1,0,735083938.8,0,38014814.9,693710741.8,43014341.56,232671.28,0,0,0,0,0,50083.3,888.94,95566.17,3362371.06,583.22,0,0,0,0,0,740467247.7,0,0,0,646753512.7,88941728,0,0,0,0,47142.26,825.17,88694.92,3120616.56,541.14,0,0,0,0,0,-4918.87,738948141.8,0,0,0,735265349.1,740467247.3
SLD IUL Old SLIC,3962,617340036.2,19519335,95434564.36,0,95379518.57,0,8831444.59,80408403.31,14900615.86,976.13,0,0,0,0,0,18223.87,392.55,74692.78,141405.39,143.83,0,0,0,0,0,95544853.7,0,0,0,74627039.24,20675256.45,0,0,0,0,16913.78,364.34,69322.36,131238.34,133.37,0,0,0,0,0,0,95520267.86,0,0,0,95434564.36,95544853.72
SLD BOLI Old SLIC RGA,1395,412598956,0,285942691.4,0,285942691.4,0,0,259814058.1,26128633.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285942691.4,0,0,0,241133427.3,44809264.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285942691.4,0,0,0,285942691.4,285942691.3
SLD BOLI Old SLIC RGA FAB,304,106259811,0,87670375.19,0,87670375.19,0,0,83829765.1,3840610.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87670375.19,0,0,0,77802405.03,9867970.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87670375.19,0,0,0,87670375.19,87670375.19
VIAC BOLI RGA FAB,75,27250601,0,22567450.47,0,22567450.47,0,0,21592786.14,974664.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22567450.47,0,0,0,20040264.78,2527185.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22567450.47,0,0,0,22567450.47,22567450.47
JKSN BOLI RGA FAB,91,30170513,0,25408336.32,0,25408336.32,0,0,24345417.35,1062918.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25408336.32,0,0,0,22594981.84,2813354.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25408336.32,0,0,0,25408336.32,25408336.32
RLI ISWL,7318,289087423,0,146175924,0,147433929.9,0,0,164053703.4,4896502.13,708761.85,0,0,0,0,0,0,0,12293.21,110771.11,0,0,0,0,0,1137559.84,170919591.9,0,0,0,152258242.4,11388851.35,0,0,0,0,0,0,11409.38,102806.66,0,0,0,0,0,1055769.8,0,164817079,0,0,0,146175924,170919591.5
SLD IUL ULSG Teal,911,373811207,220000,34472869,0,27388234,0,177337,30331113.81,1105.39,0,54998562.53,425238.54,0,0,0,190.23,0,7371.47,0,0,0,0,0,0,0,85763582.08,0,0,0,28150306.78,9419.9,51044165.94,0,0,0,176.55,0,6841.45,0,0,0,0,0,0,0,0,79210910.67,0,0,0,34472869,85763581.97
RNY IUL ULSG SUNNY Teal,186,65983935,0,5714836,0,4821885,0,185949,5013393.31,31430.15,0,5710946.53,900229.93,0,0,0,0,0,393.69,0,0,0,0,0,0,0,11656393.54,0,0,0,4652930.39,40496.65,5300329.43,0,0,0,0,0,365.39,0,0,0,0,0,0,0,0,9994121.83,0,0,0,5714836,11656393.61
SLD BOLI Old SLIC,2716,1194027789,0,800650135,0,800650135,0,48003.23,713076076.9,87596828.16,21232.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800694137.6,0,0,0,661805906.9,138844228.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800650135,0,0,0,800650135,800694137.5
RNY ISWL GuarL,59,6976387,0,4011195.38,0,4012477.3,0,0,4444529.03,43977.62,89960.35,0,0,0,0,0,0,0,1045.1,0,0,0,0,0,0,43632.96,4623145.03,0,0,0,4124967.39,245868.07,0,0,0,0,0,0,969.93,0,0,0,0,0,0,0,0,4371805.4,0,0,0,4011195.38,4623145.06
